Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	R Reim	Tg1a Kapitel	Ms1 Seite	Lemma	M2c Flexion Beleg 2	S2 Stammbaum	Ms2 Zeile	Tg2b Halbvers	M1a DDDTS Lemma	Standard W	S1a Satz	Sprache	Übersetzung	M2b Flexion Beleg 1	Ts1 Seite Ed.2	Ts1 Seite Ed.1	Tg Kommentar	Ts1 Seite Ed.3	R Kommentar	Tg1b Unterkapitel	S1b Hierarchie	Referenz	Ts2 Zeile Ed.1	Referenztext R	Manuskript W	Ts2 Zeile Ed.2	Ts2 Zeile Ed.3	M1b DDDTS Beleg	M2a Flexion Lemma	Referenztext W	Manuskript R	Tg2a Vers	Identifizierer	File Path
00:00:02.000	2.0	00:00:13.400	13.4	00:00:11.400	11.4											CF_U_M																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:00:13.400	13.4	00:00:22.600	22.6	00:00:09.200	9.2											CI_U_Adv_Fin																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:00:23.000	23.0	00:00:31.000	31.0	00:00:08.000	8.0											CF_I_Att																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:00:31.400	31.4	00:00:35.000	35.0	00:00:03.600	3.6											CF_U_M																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:00:35.400	35.4	00:00:46.800	46.8	00:00:11.400	11.4											CF_I_Adv_Fin																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:00:47.200	47.2	00:01:02.400	62.4	00:00:15.200	15.2											CF_U_M																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:01:02.800	62.8	00:01:07.000	67.0	00:00:04.200	4.2											CF_U_M																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:01:07.000	67.0	00:01:13.400	73.4	00:00:06.400	6.4											CF_U_M																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:01:13.400	73.4	00:01:24.200	84.2	00:00:10.800	10.8											CF_I_M																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:01:24.600	84.6	00:01:31.600	91.6	00:00:07.000	7.0											CF_U_M																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:01:32.000	92.0	00:01:37.000	97.0	00:00:05.000	5.0											CF_I_Att																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:01:37.400	97.4	00:01:52.400	112.4	00:00:15.000	15.0											CF_U_M																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:01:52.800	112.8	00:02:09.000	129.0	00:00:16.200	16.2											CF_U_M																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
