Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	R Reim	Tg1a Kapitel	Ms1 Seite	Lemma	M2c Flexion Beleg 2	S2 Stammbaum	Ms2 Zeile	Tg2b Halbvers	Standard W	M1a DDDTS Lemma	S1a Satz	Sprache	Übersetzung	Tg3a Capitulum	M2b Flexion Beleg 1	Ts1 Seite Ed.2	Ts1 Seite Ed.1	Tg Kommentar	Ts1 Seite Ed.3	R Kommentar	Tg1b Unterkapitel	S1b Hierarchie	Referenz	Tg3b Section	Ts2 Zeile Ed.1	Referenztext R	Manuskript W	Ts2 Zeile Ed.2	Ts2 Zeile Ed.3	Tg3c Canon	M1b DDDTS Beleg	M2a Flexion Lemma	Referenztext W	Manuskript R	Lemmanachweis	Tg2a Vers	Identifizierer	File Path
00:00:00.000	0.0	00:04:07.800	247.8	00:04:07.800	247.8		1																																				file:///media/vbspace/ddd/data/Genesis/5_corrections/Gen_1.eaf
00:00:00.400	0.4	00:04:07.800	247.8	00:04:07.400	247.4		1	1r																																			file:///media/vbspace/ddd/data/Genesis/5_corrections/Gen_1.eaf
00:00:00.000	0.0	00:00:00.400	0.4	00:00:00.400	0.4		1		eristo	pos_neut_sg_nom_wk				I	ADJO	CE	osx	der, die, das erste		n								::10				I				ADJOS	n	I				::10	file:///media/vbspace/ddd/data/Genesis/5_corrections/Gen_1.eaf
00:00:00.400	0.4	00:00:01.600	1.6	00:00:01.200	1.2		1	1r								CE												::20													556	::20	file:///media/vbspace/ddd/data/Genesis/5_corrections/Gen_1.eaf
00:00:02.000	2.0	00:00:06.600	6.6	00:00:04.600	4.6		1	1r								CF_CS_I_S 																									556		file:///media/vbspace/ddd/data/Genesis/5_corrections/Gen_1.eaf
00:00:07.200	7.2	00:00:09.000	9.0	00:00:01.800	1.8		1	1r								CF_U_M 																									556		file:///media/vbspace/ddd/data/Genesis/5_corrections/Gen_1.eaf
00:00:09.200	9.2	00:00:16.200	16.2	00:00:07.000	7.0		1	1r								CF_CC_I_S 																											file:///media/vbspace/ddd/data/Genesis/5_corrections/Gen_1.eaf
00:00:16.600	16.6	00:00:26.400	26.4	00:00:09.800	9.8		1	1r								CF_U_M 																											file:///media/vbspace/ddd/data/Genesis/5_corrections/Gen_1.eaf
00:00:26.600	26.6	00:00:34.400	34.4	00:00:07.800	7.8		1	1r								CF_U_M 																											file:///media/vbspace/ddd/data/Genesis/5_corrections/Gen_1.eaf
00:00:34.600	34.6	00:00:41.600	41.6	00:00:07.000	7.0		1	1r								CF_U_M 																											file:///media/vbspace/ddd/data/Genesis/5_corrections/Gen_1.eaf
