Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	R Reim	Tg1a Kapitel	Ms1 Seite	Lemma	M2c Flexion Beleg 2	S2 Stammbaum	Ms2 Zeile	Tg2b Halbvers	Standard W	M1a DDDTS Lemma	S1a Satz	Sprache	Übersetzung	Tg3a Capitulum	M2b Flexion Beleg 1	Ts1 Seite Ed.2	Ts1 Seite Ed.1	Tg Kommentar	Ts1 Seite Ed.3	R Kommentar	Tg1b Unterkapitel	S1b Hierarchie	Referenz	Tg3b Section	Ts2 Zeile Ed.1	Referenztext R	Manuskript W	Ts2 Zeile Ed.2	Ts2 Zeile Ed.3	Tg3c Canon	M1b DDDTS Beleg	M2a Flexion Lemma	Referenztext W	Manuskript R	Lemmanachweis	Tg2a Vers	Identifizierer	File Path
00:00:00.000	0.0	00:06:10.800	370.8	00:06:10.800	370.8		1																																				file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:00:00.000	0.0	00:01:18.200	78.2	00:01:18.200	78.2		1																			5																	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:01:18.200	78.2	00:02:15.400	135.4	00:00:57.200	57.2		1																			6																	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:02:15.400	135.4	00:03:59.400	239.4	00:01:44.000	104.0		1																			7																	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:59.400	239.4	00:06:18.400	378.4	00:02:19.000	139.0																					8																	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:00:00.000	0.0	00:00:00.200	0.2	00:00:00.200	0.2		1		fimfto	pos_neut_sg_nom_wk				fimfta	ADJO	CE	goh	der, die, das fünfte		n						5						5				ADJOS	n	5					file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:00:49.200	49.2	00:00:51.200	51.2	00:00:02.000	2.0		1		zwifalon	ind_pres_pl_1				zwīfalōmēs	VV	CE	goh	zweifeln		wk2						5		::10				zuiflomes				VVFIN	wk2	zuiflomes				::10	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:00:51.600	51.6	00:00:53.400	53.4	00:00:01.800	1.8		1		stritan	ind_pres_pl_3				strītant	VV	CE	goh	streiten		st1a						5		::20				stritant				VVFIN	st1a	stritant				::20	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:00:55.000	55.0	00:00:57.000	57.0	00:00:02.000	2.0		1									CE 										5																	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:00:57.400	57.4	00:01:03.600	63.6	00:00:06.200	6.2		1									CF_U_M										5																	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:01:04.400	64.4	00:01:05.800	65.8	00:00:01.400	1.4		1		sin	masc,neut_sg_dat_st				sīnemu	DPOS	CE	goh	sein		p						5		::100				sinemo				DPOS	a,o	sinemo				::100	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:01:06.200	66.2	00:01:08.800	68.8	00:00:02.600	2.6		1									CF_U_M										5																	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:01:15.200	75.2	00:01:17.800	77.8	00:00:02.600	2.6		1									CF_U_M										5																	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:01:18.200	78.2	00:01:18.400	78.4	00:00:00.200	0.2		1		sëhsto	pos_neut_sg_nom_wk				sëhsta	ADJO	CE	goh	der, die, das sechste		n						6						6				ADJOS	n	6					file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:01:23.800	83.8	00:01:29.600	89.6	00:00:05.800	5.8		1									CF_I_O										6																	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:01:30.000	90.0	00:01:34.800	94.8	00:00:04.800	4.8		1									CF_U_M 										6																	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:01:35.200	95.2	00:01:37.600	97.6	00:00:02.400	2.4		1									CF_U_M 										6																	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:01:38.000	98.0	00:01:42.000	102.0	00:00:04.000	4.0		1									CE 										6																	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:01:42.400	102.4	00:01:46.800	106.8	00:00:04.400	4.4		1									CE 										6																	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:01:47.200	107.2	00:01:50.200	110.2	00:00:03.000	3.0		1									CF_U_M 										6																	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:01:50.600	110.6	00:01:51.400	111.4	00:00:00.800	0.8		1		quëdan	ind_past_sg_3				quad	VV	CF_U_M	goh	sprechen, sagen		st5						6		::380				quad				VVFIN	st5	quad				::380	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:02:00.800	120.8	00:02:02.600	122.6	00:00:01.800	1.8		1									CE 										6																	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:02:03.000	123.0	00:02:05.600	125.6	00:00:02.600	2.6		1									CE										6																	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:02:06.000	126.0	00:02:09.200	129.2	00:00:03.200	3.2		1									CF_I_Att										6																	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:02:10.400	130.4	00:02:11.200	131.2	00:00:00.800	0.8		1		ër	masc_sg_dat_3				imu	PPER	CE	goh	er, sie, es								6		::470				imo				PPER		imo				::470	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:02:11.600	131.6	00:02:13.200	133.2	00:00:01.600	1.6		1									CE 										6																	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
