Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	R Reim	Tg1a Kapitel	Ms1 Seite	Lemma	M2c Flexion Beleg 2	S2 Stammbaum	Ms2 Zeile	Tg2b Halbvers	Standard W	M1a DDDTS Lemma	S1a Satz	Sprache	Übersetzung	Tg3a Capitulum	M2b Flexion Beleg 1	Ts1 Seite Ed.2	Ts1 Seite Ed.1	Tg Kommentar	Ts1 Seite Ed.3	R Kommentar	Tg1b Unterkapitel	S1b Hierarchie	Referenz	Tg3b Section	Ts2 Zeile Ed.1	Referenztext R	Manuskript W	Ts2 Zeile Ed.2	Ts2 Zeile Ed.3	Tg3c Canon	M1b DDDTS Beleg	M2a Flexion Lemma	Referenztext W	Manuskript R	Lemmanachweis	Tg2a Vers	Identifizierer	File Path
00:00:00.000	0.0	00:03:39.800	219.8	00:03:39.800	219.8		I															3																					file:///media/vbspace/ddd/data/Monsee/9_corrections/MF-1_M.I.eaf
00:00:00.800	0.8	00:00:10.600	10.6	00:00:09.800	9.8		I									CF_U_M						3																					file:///media/vbspace/ddd/data/Monsee/9_corrections/MF-1_M.I.eaf
00:00:11.000	11.0	00:00:22.800	22.8	00:00:11.800	11.8		I									 CF_I_M						3																					file:///media/vbspace/ddd/data/Monsee/9_corrections/MF-1_M.I.eaf
00:00:23.200	23.2	00:00:27.800	27.8	00:00:04.600	4.6		I									CF_I_Adv_Temp						3								3													file:///media/vbspace/ddd/data/Monsee/9_corrections/MF-1_M.I.eaf
00:00:28.200	28.2	00:00:29.400	29.4	00:00:01.200	1.2		I		bitten	ind_past_pl_3				bātun	VV	CF_U_M	goh	bitte, erbitten		st5		3						::220		3		batun				VVFIN	st5	batun				::220	file:///media/vbspace/ddd/data/Monsee/9_corrections/MF-1_M.I.eaf
00:00:29.800	29.8	00:00:37.000	37.0	00:00:07.200	7.2		I									CF_I_O						3								4													file:///media/vbspace/ddd/data/Monsee/9_corrections/MF-1_M.I.eaf
00:00:37.400	37.4	00:00:42.800	42.8	00:00:05.400	5.4		I									CF_I_M 						3								5													file:///media/vbspace/ddd/data/Monsee/9_corrections/MF-1_M.I.eaf
00:00:43.200	43.2	00:00:48.800	48.8	00:00:05.600	5.6		I									CF_U_M 						3																					file:///media/vbspace/ddd/data/Monsee/9_corrections/MF-1_M.I.eaf
00:00:49.200	49.2	00:00:53.600	53.6	00:00:04.400	4.4		I									CF_I_M						3								6													file:///media/vbspace/ddd/data/Monsee/9_corrections/MF-1_M.I.eaf
00:00:54.000	54.0	00:01:02.200	62.2	00:00:08.200	8.2		I									 CF_I_M 						3								7													file:///media/vbspace/ddd/data/Monsee/9_corrections/MF-1_M.I.eaf
00:01:02.600	62.6	00:01:06.400	66.4	00:00:03.800	3.8		I									CP_U_Att 						3																					file:///media/vbspace/ddd/data/Monsee/9_corrections/MF-1_M.I.eaf
00:01:06.800	66.8	00:01:12.400	72.4	00:00:05.600	5.6		I									CF_I_M						3								8													file:///media/vbspace/ddd/data/Monsee/9_corrections/MF-1_M.I.eaf
00:01:12.800	72.8	00:01:16.200	76.2	00:00:03.400	3.4		I									CF_U_M						3								9													file:///media/vbspace/ddd/data/Monsee/9_corrections/MF-1_M.I.eaf
00:01:16.600	76.6	00:01:19.000	79.0	00:00:02.400	2.4		I									CF_U_Imp						3								9													file:///media/vbspace/ddd/data/Monsee/9_corrections/MF-1_M.I.eaf
00:01:19.400	79.4	00:01:27.800	87.8	00:00:08.400	8.4		I									CF_U_M						3																					file:///media/vbspace/ddd/data/Monsee/9_corrections/MF-1_M.I.eaf
00:01:28.200	88.2	00:01:40.600	100.6	00:00:12.400	12.4		I									 CF_I_M						3																					file:///media/vbspace/ddd/data/Monsee/9_corrections/MF-1_M.I.eaf
00:01:41.000	101.0	00:01:43.800	103.8	00:00:02.800	2.8		I									CF_U_M						3								12													file:///media/vbspace/ddd/data/Monsee/9_corrections/MF-1_M.I.eaf
00:01:44.200	104.2	00:01:50.800	110.8	00:00:06.600	6.6		I									CF_I_Adv_Temp						3								12													file:///media/vbspace/ddd/data/Monsee/9_corrections/MF-1_M.I.eaf
00:01:51.200	111.2	00:01:52.400	112.4	00:00:01.200	1.2		I		quëdan	ind_past_sg_3				quad	VV	CF_U_M	goh	sprechen, sagen		st5		3						::890		13		quhat				VVFIN	st5	quhat				::890	file:///media/vbspace/ddd/data/Monsee/9_corrections/MF-1_M.I.eaf
00:01:52.800	112.8	00:02:03.000	123.0	00:00:10.200	10.2		I									CF_I_Int						3																					file:///media/vbspace/ddd/data/Monsee/9_corrections/MF-1_M.I.eaf
00:02:03.400	123.4	00:02:10.400	130.4	00:00:07.000	7.0		I									CF_CS_I_Int 						3								14													file:///media/vbspace/ddd/data/Monsee/9_corrections/MF-1_M.I.eaf
00:02:18.800	138.8	00:02:22.000	142.0	00:00:03.200	3.2		I									CF_CC_I_Int						3								16													file:///media/vbspace/ddd/data/Monsee/9_corrections/MF-1_M.I.eaf
00:02:22.400	142.4	00:02:25.800	145.8	00:00:03.400	3.4		I									CF_U_Imp 						3								16													file:///media/vbspace/ddd/data/Monsee/9_corrections/MF-1_M.I.eaf
