Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	R Reim	Tg1a Kapitel	Ms1 Seite	Lemma	M2c Flexion Beleg 2	S2 Stammbaum	Ms2 Zeile	Tg2b Halbvers	Standard W	M1a DDDTS Lemma	S1a Satz	Sprache	Übersetzung	Tg3a Capitulum	M2b Flexion Beleg 1	Ts1 Seite Ed.2	Ts1 Seite Ed.1	Tg Kommentar	Ts1 Seite Ed.3	R Kommentar	Tg1b Unterkapitel	S1b Hierarchie	Referenz	Tg3b Section	Ts2 Zeile Ed.1	Referenztext R	Manuskript W	Ts2 Zeile Ed.2	Ts2 Zeile Ed.3	Tg3c Canon	M1b DDDTS Beleg	M2a Flexion Lemma	Referenztext W	Manuskript R	Lemmanachweis	Tg2a Vers	Identifizierer	File Path
00:00:00.000	0.0	00:00:18.400	18.4	00:00:18.400	18.4		1																																				file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:00:18.400	18.4	00:00:38.200	38.2	00:00:19.800	19.8		2																																				file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:00:38.200	38.2	00:00:57.000	57.0	00:00:18.800	18.8		3																																				file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:00:57.000	57.0	00:01:20.200	80.2	00:00:23.200	23.2		4																																				file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:01:20.200	80.2	00:01:38.800	98.8	00:00:18.600	18.6		5																																				file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:01:38.800	98.8	00:02:00.000	120.0	00:00:21.200	21.2		6																																				file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:02:00.000	120.0	00:02:23.400	143.4	00:00:23.400	23.4		7																																				file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:02:23.400	143.4	00:02:43.200	163.2	00:00:19.800	19.8		8									CF																											file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:02:43.200	163.2	00:03:04.400	184.4	00:00:21.200	21.2		9																																				file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:03:04.400	184.4	00:03:25.200	205.2	00:00:20.800	20.8		10	123a																																			file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:03:25.200	205.2	00:03:47.000	227.0	00:00:21.800	21.8		11	123a								CF																											file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:03:47.000	227.0	00:04:08.000	248.0	00:00:21.000	21.0		12	123a																																			file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:04:08.000	248.0	00:04:29.000	269.0	00:00:21.000	21.0		13	123a																																			file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:03:04.400	184.4	00:04:29.000	269.0	00:01:24.600	84.6			123a																																			file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:00:00.000	0.0	00:00:09.000	9.0	00:00:09.000	9.0		1									CF																											file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:00:09.000	9.0	00:00:22.000	22.0	00:00:13.000	13.0											CF																											file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:00:22.000	22.0	00:00:38.200	38.2	00:00:16.200	16.2		2									CF																											file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:00:38.200	38.2	00:00:42.400	42.4	00:00:04.200	4.2		3									CF																									1		file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:00:42.400	42.4	00:00:52.600	52.6	00:00:10.200	10.2		3									CF																											file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:00:52.600	52.6	00:00:57.000	57.0	00:00:04.400	4.4		3									CF																									4		file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:00:57.000	57.0	00:01:04.200	64.2	00:00:07.200	7.2		4									CF																									1		file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:01:04.200	64.2	00:01:14.800	74.8	00:00:10.600	10.6		4									CF 																											file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:01:14.800	74.8	00:01:20.200	80.2	00:00:05.400	5.4		4									CP 																									4		file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:01:20.200	80.2	00:01:29.800	89.8	00:00:09.600	9.6		5									CF																											file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:01:29.800	89.8	00:01:38.800	98.8	00:00:09.000	9.0		5									CF																											file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:01:38.800	98.8	00:01:44.600	104.6	00:00:05.800	5.8		6									CF																									1		file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:01:44.600	104.6	00:02:00.000	120.0	00:00:15.400	15.4		6									CF																											file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:02:00.000	120.0	00:02:04.800	124.8	00:00:04.800	4.8		7									CF																									1		file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:02:04.800	124.8	00:02:23.400	143.4	00:00:18.600	18.6		7									CF_																											file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:02:43.200	163.2	00:02:47.600	167.6	00:00:04.400	4.4		9									CF																									1		file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:02:47.600	167.6	00:02:53.200	173.2	00:00:05.600	5.6		9									CF 																									2		file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:02:53.200	173.2	00:03:04.400	184.4	00:00:11.200	11.2		9									CP 																											file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:03:04.400	184.4	00:03:14.200	194.2	00:00:09.800	9.8		10	123a								CF																											file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:03:14.200	194.2	00:03:25.200	205.2	00:00:11.000	11.0		10	123a								CP																											file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:03:47.000	227.0	00:03:53.400	233.4	00:00:06.400	6.4		12	123a								CF																									1		file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:03:53.400	233.4	00:03:58.000	238.0	00:00:04.600	4.6		12	123a								CF																									2		file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:03:58.000	238.0	00:04:08.000	248.0	00:00:10.000	10.0		12	123a								CF_U_Imp																											file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:04:08.000	248.0	00:04:19.800	259.8	00:00:11.800	11.8		13	123a								CF 																											file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:04:19.800	259.8	00:04:21.200	261.2	00:00:01.400	1.4		13	123a	ewig	pos_neut_pl_dat_st				ēwīgēn	ADJ	CI_CS	goh	ewig, immerwährend		p								::1870				euigem				ADJ	a,o	euigem			3	::1870	file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:04:21.200	261.2	00:04:24.400	264.4	00:00:03.200	3.2		13	123a								CF																									3		file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:04:24.400	264.4	00:04:29.000	269.0	00:00:04.600	4.6		13	123a								CI_CC																									4		file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:00:45.600	45.6	00:00:46.600	46.6	00:00:01.000	1.0		3		boto	sg_nom				boto	NA	CF	goh	Bote, Engel		n_masc			Doppelglossierung zu "angelus"					::360				poto				NA	n_masc	poto			2	::360	file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:00:46.600	46.6	00:00:48.000	48.0	00:00:01.400	1.4		3		kundo	sg_nom				kundo	NA	CF	goh	Verkünder, Engel		n_masc			Doppelglossierung zu "angelus"					::370				chundo				NA	n_masc	chundo			2	::370	file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:00:58.200	58.2	00:00:59.400	59.4	00:00:01.200	1.2		4		wila	sg_nom				wīla	NA	CF	goh	Stunde; Zeit		o_fem			Doppelglossierung zu "hora"					::450				uuila				NA	o_fem	uuila			1	::450	file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:00:59.400	59.4	00:01:00.800	60.8	00:00:01.400	1.4		4		stunta	sg_nom				stunta	NA	CF	goh	Stunde, Zeit		o,n_fem			Doppelglossierung zu "hora"					::460				stunta				NA	o,n_fem	stunta			1	::460	file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
00:01:09.600	69.6	00:01:11.200	71.2	00:00:01.600	1.6		4		slahan					slahan	VV	CF 	goh	schlagen, vernichten		st6			Doppelglossierung zu "punire"					::550				sclahan				VVINF	st6	sclahan			3	::550	file:///media/vbspace/ddd/data/MurbacherHymnen/9_corrections/MH_Murb.H.I.eaf
