Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	R Reim	Tg1a Kapitel	Ms1 Seite	Lemma	M2c Flexion Beleg 2	S2 Stammbaum	Ms2 Zeile	Tg2b Halbvers	Standard W	M1a DDDTS Lemma	S1a Satz	Sprache	Übersetzung	Tg3a Capitulum	M2b Flexion Beleg 1	Ts1 Seite Ed.2	Ts1 Seite Ed.1	Tg Kommentar	Ts1 Seite Ed.3	R Kommentar	Tg1b Unterkapitel	S1b Hierarchie	Referenz	Tg3b Section	Ts2 Zeile Ed.1	Referenztext R	Manuskript W	Ts2 Zeile Ed.2	Ts2 Zeile Ed.3	Tg3c Canon	M1b DDDTS Beleg	M2a Flexion Lemma	Referenztext W	Manuskript R	Lemmanachweis	Tg2a Vers	Identifizierer	File Path
00:00:00.000	0.0	00:04:10.200	250.2	00:04:10.200	250.2																	60																					file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:00.000	0.0	00:00:09.800	9.8	00:00:09.800	9.8																	60								1													file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:09.800	9.8	00:00:20.600	20.6	00:00:10.800	10.8																	60								2													file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:20.600	20.6	00:00:29.400	29.4	00:00:08.800	8.8																	60								3													file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:29.400	29.4	00:00:38.600	38.6	00:00:09.200	9.2																	60								4													file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:38.600	38.6	00:00:47.400	47.4	00:00:08.800	8.8																	60								5													file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:47.400	47.4	00:00:58.400	58.4	00:00:11.000	11.0																	60								6													file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:58.400	58.4	00:01:09.000	69.0	00:00:10.600	10.6																	60								7													file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:01:09.000	69.0	00:01:17.800	77.8	00:00:08.800	8.8																	60								8													file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:01:17.800	77.8	00:01:26.600	86.6	00:00:08.800	8.8																	60								9													file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:01:26.600	86.6	00:01:35.400	95.4	00:00:08.800	8.8																	60								10													file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:01:35.400	95.4	00:01:45.200	105.2	00:00:09.800	9.8																	60								11													file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:01:45.200	105.2	00:01:53.800	113.8	00:00:08.600	8.6																	60								12													file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:01:53.800	113.8	00:02:04.400	124.4	00:00:10.600	10.6																	60								13													file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:02:04.400	124.4	00:02:12.800	132.8	00:00:08.400	8.4																	60								14													file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:02:12.800	132.8	00:02:22.000	142.0	00:00:09.200	9.2																	60								15													file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:02:22.000	142.0	00:02:29.000	149.0	00:00:07.000	7.0																	60								16													file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:02:29.000	149.0	00:02:39.400	159.4	00:00:10.400	10.4																	60								17													file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:02:39.400	159.4	00:02:49.600	169.6	00:00:10.200	10.2																	60								18													file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:02:49.600	169.6	00:02:58.400	178.4	00:00:08.800	8.8																	60								19													file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:02:58.400	178.4	00:03:07.000	187.0	00:00:08.600	8.6																	60								20													file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:03:07.000	187.0	00:03:16.600	196.6	00:00:09.600	9.6																	60								21													file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:03:16.600	196.6	00:03:27.600	207.6	00:00:11.000	11.0																	60								22													file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:03:27.600	207.6	00:03:34.800	214.8	00:00:07.200	7.2																	60								23													file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:03:34.800	214.8	00:03:44.000	224.0	00:00:09.200	9.2																	60								24													file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:03:44.000	224.0	00:03:53.000	233.0	00:00:09.000	9.0																	60								25													file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:03:53.000	233.0	00:04:10.200	250.2	00:00:17.200	17.2																	60								26													file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:00.000	0.0	00:00:01.800	1.8	00:00:01.800	1.8									dicentur			lat					60						::10		1		dicentur						dicentur				::10	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:02.200	2.2	00:00:03.000	3.0	00:00:00.800	0.8									mer			goh					60						::20		1		Mêr						Mêr				::20	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:03.000	3.0	00:00:04.000	4.0	00:00:01.000	1.0									driu			goh					60						::30		1		dríu						dríu				::30	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:04.000	4.0	00:00:05.800	5.8	00:00:01.800	1.8				quëdan	ind_pres_sg_3				nechidit	VV		goh	sagen, sprechen, reden; erzählen, berichten; singen; erklären, bestimmen, zusprechen, aussagen, eine Aussage machen, behaupten; nennen, bezeichnen; bedeuten, heißen, lauten		st5		60						::40		1		nechídit				VVFIN	st5	nechídit				::40	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:05.800	5.8	00:00:07.200	7.2	00:00:01.400	1.4				nioman	_sg_nom_st				nioman	PI¦PTK		goh	niemand, keiner		c,a		60						::50		1		nîoman				PINEG¦PTKNEG	c,a	nîoman				::50	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:07.600	7.6	00:00:08.400	8.4	00:00:00.800	0.8				nec					nec	KO		lat	und nicht, auch nicht, aber nicht ( = neque)¦nicht einmal				60						::60		1		Nec				KON		Nec				::60	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:08.400	8.4	00:00:09.800	9.8	00:00:01.400	1.4									potius			lat					60						::70		1		poti\us						potius				::70	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:09.800	9.8	00:00:10.800	10.8	00:00:01.000	1.0									tria			lat					60						::80		2		tria						tria				::80	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:11.200	11.2	00:00:12.200	12.2	00:00:01.000	1.0									quam			lat					60						::90		2		quam						quam				::90	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:12.200	12.2	00:00:13.200	13.2	00:00:01.000	1.0									tria			lat					60						::100		2		tria						tria				::100	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:13.600	13.6	00:00:14.400	14.4	00:00:00.800	0.8									noh			goh					60						::110		2		Nóh						Nóh				::110	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:14.400	14.4	00:00:15.600	15.6	00:00:01.200	1.2									einiu			goh					60						::120		2		éiniu						éiniu				::120	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:15.600	15.6	00:00:16.600	16.6	00:00:01.000	1.0									driu			goh					60						::130		2		dríu						dríu				::130	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:17.000	17.0	00:00:17.800	17.8	00:00:00.800	0.8									mer			goh					60						::140		2		mêr						mêr				::140	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:17.800	17.8	00:00:19.000	19.0	00:00:01.200	1.2									danne			goh					60						::150		2		dánne						dánne				::150	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:19.000	19.0	00:00:20.600	20.6	00:00:01.600	1.6									anderiu			goh					60						::160		2		án\deriu						ánderiu				::160	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:20.600	20.6	00:00:21.600	21.6	00:00:01.000	1.0									driu			goh					60						::170		3		dríu						dríu				::170	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:22.000	22.0	00:00:22.800	22.8	00:00:00.800	0.8				nec					nec	KO		lat	und nicht, auch nicht, aber nicht ( = neque)¦nicht einmal				60						::180		3		Nec				KON		Nec				::180	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:22.800	22.8	00:00:24.200	24.2	00:00:01.400	1.4									tempus			lat					60						::190		3		tempus						tempus				::190	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:24.200	24.2	00:00:25.400	25.4	00:00:01.200	1.2									aliud			lat					60						::200		3		aliud						aliud				::200	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:25.400	25.4	00:00:26.400	26.4	00:00:01.000	1.0									alio			lat					60						::210		3		alio						alio				::210	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:26.400	26.4	00:00:27.600	27.6	00:00:01.200	1.2									magis			lat					60						::220		3		magis						magis				::220	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:27.600	27.6	00:00:28.200	28.2	00:00:00.600	0.6									et			lat					60						::230		3		et						et				::230	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:28.200	28.2	00:00:29.400	29.4	00:00:01.200	1.2									minus			lat					60						::240		3		mi\nus						minus				::240	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:29.400	29.4	00:00:31.000	31.0	00:00:01.600	1.6									dicitur			lat					60						::250		4		dicitur						dicitur				::250	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:31.400	31.4	00:00:32.200	32.2	00:00:00.800	0.8									noh			goh					60						::260		4		Nóh						Nóh				::260	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:32.200	32.2	00:00:33.000	33.0	00:00:00.800	0.8				ein	_pl_nom¦acc_0				ein	DI		goh	(irgend)ein, irgendwelch(er), ein gewisser, jener, ein und derselbe, gleich; einzig, bloß, allein(ig), einzeln, verlassen¦allein, bloß, nur		a,o		60						::270		4		éin				DIA	a,o	éin				::270	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:33.000	33.0	00:00:33.800	33.8	00:00:00.800	0.8									zit			goh					60						::280		4		zît						zît				::280	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:33.800	33.8	00:00:35.600	35.6	00:00:01.800	1.8									nechidit			goh					60						::290		4		nechí/dit						nechí/dit				::290	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:35.600	35.6	00:00:36.400	36.4	00:00:00.800	0.8									man			goh					60						::300		4		man						man				::300	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:36.400	36.4	00:00:37.800	37.8	00:00:01.400	1.4									uuesen			goh					60						::310		4		uuésen						uuésen				::310	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:37.800	37.8	00:00:38.600	38.6	00:00:00.800	0.8									mer			goh					60						::320		4		mêr						mêr				::320	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:38.600	38.6	00:00:39.400	39.4	00:00:00.800	0.8									zit			goh					60						::330		5		zît						zît				::330	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:39.400	39.4	00:00:40.400	40.4	00:00:01.000	1.0				alde					alde	KO		goh	oder				60						::340		5		álde				KO??		álde				::340	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
00:00:40.400	40.4	00:00:41.200	41.2	00:00:00.800	0.8									min			goh					60						::350		5		mín						mín				::350	file:///media/vbspace/ddd/data/NotkerBoethius/N_Cat/1_corrections/notket_10_Boeth.Cat.__60-Author__Notker.Boeth.Cat.60.eaf
