Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	Ms1 Seite Ms.2	Ms1 Seite Ms.1	Glosse	R Reim	Tg1a Kapitel	Lemma	M2c Flexion Beleg 2	S2 Stammbaum	Tg2b Halbvers	Standard W	M1a DDDTS Lemma	Ms1 Seite Ms.3	S1a Satz	Sprache	Übersetzung	Tg3a Capitulum	M2b Flexion Beleg 1	Ms2 Zeile Ms.2	Ms2 Zeile Ms.1	Ts1 Seite Ed.2	Ts1 Seite Ed.1	Tg Kommentar	Ts1 Seite Ed.3	R Kommentar	Tg1b Unterkapitel	S1b Hierarchie	Referenz	Ms2 Zeile Ms.3	Tg3b Section	Ts2 Zeile Ed.1	Referenztext R	Manuskript W	Ts2 Zeile Ed.2	Ts2 Zeile Ed.3	Tg3c Canon	M1b DDDTS Beleg	M2a Flexion Lemma	Referenztext W	Manuskript R	Lemmanachweis	Tg2a Vers	Identifizierer	File Path
00:00:00.000	0.0	00:02:13.800	133.8	00:02:13.800	133.8		D71v																																									file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:00:00.000	0.0	00:00:09.000	9.0	00:00:09.000	9.0		D71v											CF_CS_U_M   						8																								file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:00:09.000	9.0	00:00:18.800	18.8	00:00:09.800	9.8		D71v																	9																								file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:00:18.800	18.8	00:00:30.200	30.2	00:00:11.400	11.4		D71v																	10																								file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:00:30.200	30.2	00:00:40.400	40.4	00:00:10.200	10.2		D71v																	11																								file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:00:40.400	40.4	00:00:51.000	51.0	00:00:10.600	10.6		D71v																	12																								file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:00:51.000	51.0	00:01:00.000	60.0	00:00:09.000	9.0		D71v																	13																								file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:01:00.000	60.0	00:01:09.000	69.0	00:00:09.000	9.0		D71v																	14																								file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:01:09.000	69.0	00:01:19.200	79.2	00:00:10.200	10.2		D71v																	15																								file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:01:19.200	79.2	00:01:27.600	87.6	00:00:08.400	8.4		D71v																	16																								file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:01:27.600	87.6	00:01:38.200	98.2	00:00:10.600	10.6		D71v																	17																								file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:01:38.200	98.2	00:01:46.600	106.6	00:00:08.400	8.4		D71v																	18																								file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:01:46.600	106.6	00:01:55.800	115.8	00:00:09.200	9.2		D71v																	19																								file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:01:55.800	115.8	00:02:04.200	124.2	00:00:08.400	8.4		D71v											CF_U_M						20																								file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:02:04.200	124.2	00:02:13.800	133.8	00:00:09.600	9.6		D71v																	21																								file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:00:09.000	9.0	00:00:11.800	11.8	00:00:02.800	2.8		D71v											CF_CS_I_Rel 						9		108																						file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:00:11.800	11.8	00:00:13.800	13.8	00:00:02.000	2.0		D71v											CF_CC_U_M 						9		108																						file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:00:13.800	13.8	00:00:19.400	19.4	00:00:05.600	5.6		D71v											CF_CC_I_Rel 								108																						file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:00:19.800	19.8	00:00:20.400	20.4	00:00:00.600	0.6		D71v				ac				ac	KO		CF_CS_I_M	lat	und, und auch				10		108						::170					Ac				KON		Ac				::170	file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:00:20.400	20.4	00:00:27.000	27.0	00:00:06.600	6.6		D71v											CI_U_O 						10		108																						file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:00:27.000	27.0	00:00:28.400	28.4	00:00:01.400	1.4		D71v				putare	act_ind_pres_pl_1			putamus	VV		CF_CC_I_M	lat	meinen, glauben, vermuten		a		10		108						::230					putamus				VVFIN	a	putamus				::230	file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:00:28.800	28.8	00:00:30.000	30.0	00:00:01.200	1.2		D71v				nomen	sg_nom			nōmen	NA		CE	lat	Name		c_neut		10		108						::240					No\men				NA	c_neut	Nomen				::240	file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:00:30.200	30.2	00:00:31.600	31.6	00:00:01.400	1.4		D71v				natura	sg_nom			nātūra	NA		CE	lat	Natur, Beschaffenheit; Gestalt		a_fem		11		108						::250					natura				NA	a_fem	natura				::250	file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:00:32.000	32.0	00:00:33.400	33.4	00:00:01.400	1.4		D71v				victus	sg_acc			vīctum	NA		CE	lat	Lebensunterhalt, Nahrung, Lebensweise		u_masc		11		108						::260					uictum				NA	u_masc	uictum				::260	file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:00:33.800	33.8	00:00:35.400	35.4	00:00:01.600	1.6		D71v				fortuna	sg_nom			fortūna	NA		CE	lat	Schicksal, Zufall; Glück		a_fem		11		108						::270					fortuna				NA	a_fem	fortuna				::270	file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:00:35.800	35.8	00:00:37.400	37.4	00:00:01.600	1.6		D71v				habitus	sg_acc			habitum	NA		CE	lat	Haltung; Verhalten; Art		u_masc		11		108						::280					habitum				NA	u_masc	habitum				::280	file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:00:37.800	37.8	00:00:40.200	40.2	00:00:02.400	2.4		D71v				affectio	sg_acc			affectiōnem	NA		CE	lat	Einwirkung; Seelenstimmung, Gemütsverfassung		c_fem		11		108						::290					affectio\nem				NA	c_fem	affectionem				::290	file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:00:40.400	40.4	00:00:41.800	41.8	00:00:01.400	1.4		D71v				studium	pl_acc			studia	NA		CE	lat	eifriges Streben, Eifer, Bemühung		o_neut		12		108						::300					studia				NA	o_neut	studia				::300	file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:00:42.200	42.2	00:00:44.000	44.0	00:00:01.800	1.8		D71v				consilium	pl_acc			cōnsilia	NA		CE	lat	Beschluss, Absicht, Rat		o_neut		12		108						::310					consilia				NA	o_neut	consilia				::310	file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:00:44.400	44.4	00:00:45.600	45.6	00:00:01.200	1.2		D71v				factum	pl_acc			facta	NA		CE	lat	Handlung, Tat, Werk		o_neut		12		108						::320					facta				NA	o_neut	facta				::320	file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:00:46.000	46.0	00:00:47.200	47.2	00:00:01.200	1.2		D71v				casus	pl_acc			cāsūs	NA		CE	lat	Los; Zustand, Lage		u_masc		12		108						::330					casus				NA	u_masc	casus				::330	file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:00:47.600	47.6	00:00:49.400	49.4	00:00:01.800	1.8		D71v				oratio	pl_acc			ōrātiōnēs	NA		CE	lat	Rede, Sprache, Aussage		c_fem		12		108						::340					orationes				NA	c_fem	orationes				::340	file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:00:49.800	49.8	00:00:55.400	55.4	00:00:05.600	5.6		D71v											CF_U_M 								108																						file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:00:55.400	55.4	00:01:05.800	65.8	00:00:10.400	10.4		D71v											CF_I_Rel  								108																						file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:01:06.200	66.2	00:01:11.000	71.0	00:00:04.800	4.8		D71v											CI_U_S								108																						file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:01:11.000	71.0	00:01:13.400	73.4	00:00:02.400	2.4		D71v											CF_U_M 						15																								file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:01:13.800	73.8	00:01:20.000	80.0	00:00:06.200	6.2		D71v											CI_I_S 								110																						file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:01:20.000	80.0	00:01:27.600	87.6	00:00:07.600	7.6		D71v											CF_I_Rel						16		110																						file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:01:27.600	87.6	00:01:30.200	90.2	00:00:02.600	2.6		D71v											CF_U_M 						17		110																						file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:01:30.600	90.6	00:01:42.000	102.0	00:00:11.400	11.4		D71v											CF_I_M 								110																						file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:01:42.400	102.4	00:01:55.600	115.6	00:00:13.200	13.2		D71v											CF_I_M 								110																						file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:02:04.200	124.2	00:02:08.600	128.6	00:00:04.400	4.4		D71v											CF_I_S 						21		110																						file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:02:09.000	129.0	00:02:13.600	133.6	00:00:04.600	4.6		D71v											CX=CE						21		110																						file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:00:00.000	0.0	00:01:12.800	72.8	00:01:12.800	72.8		D71v																			108																						file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:01:12.800	72.8	00:02:13.800	133.8	00:01:01.000	61.0		D71v																			110																						file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:00:00.000	0.0	00:00:01.200	1.2	00:00:01.200	1.2		D71v				omnis	pos_fem_sg_nom			omnis	ADJ		CF_CS_U_M   	lat	jeder, ganz; all		i		8		108						::10					Omnis				ADJ	i	Omnis				::10	file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
00:00:01.200	1.2	00:00:02.000	2.0	00:00:00.800	0.8		D71v				res	sg_nom			rēs	NA		CF_CS_U_M   	lat	Sache, Ding; Angelegenheit		e_fem		8		108						::20					res				NA	e_fem	res				::20	file:///media/vbspace/ddd/data/NotkerKleinere/N_ArsRhet/3_corrections/N_ArsRhet_01_D71v.eaf
