Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	Ms1 Seite Ms.2	Ms1 Seite Ms.1	Glosse	R Reim	Tg1a Kapitel	Lemma	M2c Flexion Beleg 2	S2 Stammbaum	Tg2b Halbvers	Standard W	M1a DDDTS Lemma	Ms1 Seite Ms.3	S1a Satz	Sprache	Übersetzung	Tg3a Capitulum	M2b Flexion Beleg 1	Ms2 Zeile Ms.2	Ms2 Zeile Ms.1	Ts1 Seite Ed.2	Ts1 Seite Ed.1	Tg Kommentar	Ts1 Seite Ed.3	R Kommentar	Tg1b Unterkapitel	S1b Hierarchie	Referenz	Ms2 Zeile Ms.3	Tg3b Section	Ts2 Zeile Ed.1	Referenztext R	Manuskript W	Ts2 Zeile Ed.2	Ts2 Zeile Ed.3	Tg3c Canon	M1b DDDTS Beleg	M2a Flexion Lemma	Referenztext W	Manuskript R	Lemmanachweis	Tg2a Vers	Identifizierer	File Path
00:00:00.000	0.0	00:02:58.000	178.0	00:02:58.000	178.0	K295v				1																331																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:02:58.000	178.0	00:05:59.000	359.0	00:03:01.000	181.0	K296r				1																333																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:05:59.000	359.0	00:08:45.200	525.2	00:02:46.200	166.2	K296v	L60vb			1																335																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:08:45.200	525.2	00:09:14.800	554.8	00:00:29.600	29.6	K297r	L60vb			1																335																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:00:00.000	0.0	00:00:19.800	19.8	00:00:19.800	19.8	K295v	L60rb			1																331																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:00:00.000	0.0	00:00:05.600	5.6	00:00:05.600	5.6	K295v	L60rb			1														35		331																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:00:05.600	5.6	00:00:13.400	13.4	00:00:07.800	7.8	K295v	L60rb			1														36		331																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:00:13.400	13.4	00:00:19.800	19.8	00:00:06.400	6.4	K295v	L60rb			1														37		331																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:00:19.800	19.8	00:04:52.400	292.4	00:04:32.600	272.6		L60va			1																																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:00:19.800	19.8	00:00:27.800	27.8	00:00:08.000	8.0		L60va			1														1																								file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:00:27.800	27.8	00:00:36.000	36.0	00:00:08.200	8.2		L60va			1														2																								file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:00:36.000	36.0	00:00:43.800	43.8	00:00:07.800	7.8		L60va			1														3																								file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:00:43.800	43.8	00:00:53.200	53.2	00:00:09.400	9.4		L60va			1														4																								file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:00:53.200	53.2	00:01:00.200	60.2	00:00:07.000	7.0		L60va			1														5																								file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:01:00.200	60.2	00:01:09.200	69.2	00:00:09.000	9.0		L60va			1														6																								file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:01:09.200	69.2	00:01:16.400	76.4	00:00:07.200	7.2		L60va			1														7																								file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:01:16.400	76.4	00:01:24.400	84.4	00:00:08.000	8.0		L60va			1														8																								file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:01:24.400	84.4	00:01:32.000	92.0	00:00:07.600	7.6		L60va			1														9																								file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:01:32.000	92.0	00:01:39.200	99.2	00:00:07.200	7.2		L60va			1														10																								file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:01:39.200	99.2	00:01:46.000	106.0	00:00:06.800	6.8		L60va			1														11																								file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:01:46.000	106.0	00:01:55.600	115.6	00:00:09.600	9.6		L60va			1														12																								file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
