Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	Ms1 Seite Ms.2	Ms1 Seite Ms.1	Glosse	R Reim	Tg1a Kapitel	Lemma	M2c Flexion Beleg 2	S2 Stammbaum	Tg2b Halbvers	Standard W	M1a DDDTS Lemma	Ms1 Seite Ms.3	S1a Satz	Sprache	Übersetzung	Tg3a Capitulum	M2b Flexion Beleg 1	Ms2 Zeile Ms.2	Ms2 Zeile Ms.1	Ts1 Seite Ed.2	Ts1 Seite Ed.1	Tg Kommentar	Ts1 Seite Ed.3	R Kommentar	Tg1b Unterkapitel	S1b Hierarchie	Referenz	Ms2 Zeile Ms.3	Tg3b Section	Ts2 Zeile Ed.1	Referenztext R	Manuskript W	Ts2 Zeile Ed.2	Ts2 Zeile Ed.3	Tg3c Canon	M1b DDDTS Beleg	M2a Flexion Lemma	Referenztext W	Manuskript R	Lemmanachweis	Tg2a Vers	Identifizierer	File Path
00:00:19.000	19.0	00:05:13.600	313.6	00:04:54.600	294.6	G64vb																																										file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:05:13.600	313.6	00:07:05.800	425.8	00:01:52.200	112.2	F268																			592																							file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:07:05.800	425.8	00:08:17.000	497.0	00:01:11.200	71.2	Be2v	D52v																			190																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:08:17.000	497.0	00:09:00.000	540.0	00:00:43.000	43.0	J46r	D52v																		593	190																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:09:00.000	540.0	00:13:31.600	811.6	00:04:31.600	271.6	J46v																			593																							file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:13:31.600	811.6	00:15:13.400	913.4	00:01:41.800	101.8	J47r	D53v																		594	192																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:15:13.400	913.4	00:18:25.000	1105.0	00:03:11.600	191.6	H75v																			594																							file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:18:25.000	1105.0	00:21:27.600	1287.6	00:03:02.600	182.6	J47v																																										file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:21:27.600	1287.6	00:23:59.200	1439.2	00:02:31.600	151.6	X352	D54v																		595	194																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:00:00.000	0.0	00:01:09.400	69.4	00:01:09.400	69.4		D51v																		591	188																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:00:00.000	0.0	00:00:05.200	5.2	00:00:05.200	5.2		D51v																	14	591																							file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:00:05.200	5.2	00:00:19.000	19.0	00:00:13.800	13.8	F267	D51v																	15	591	188																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:00:19.000	19.0	00:00:32.200	32.2	00:00:13.200	13.2		D51v																	16	591																							file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:00:32.200	32.2	00:00:44.000	44.0	00:00:11.800	11.8		D51v																	17	591																							file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:00:44.000	44.0	00:00:57.600	57.6	00:00:13.600	13.6		D51v																	18	591																							file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:00:57.600	57.6	00:01:09.400	69.4	00:00:11.800	11.8		D51v																	19	591																							file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:01:09.400	69.4	00:05:27.800	327.8	00:04:18.400	258.4		D52r																			189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:01:09.400	69.4	00:01:25.800	85.8	00:00:16.400	16.4		D52r																	1																								file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:01:25.800	85.8	00:01:38.600	98.6	00:00:12.800	12.8		D52r																	2																								file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:01:38.600	98.6	00:01:54.000	114.0	00:00:15.400	15.4		D52r																	3																								file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:01:54.000	114.0	00:02:06.800	126.8	00:00:12.800	12.8		D52r																	4																								file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:02:06.800	126.8	00:02:19.400	139.4	00:00:12.600	12.6		D52r																	5																								file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:02:19.400	139.4	00:02:31.800	151.8	00:00:12.400	12.4		D52r																	6																								file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:02:31.800	151.8	00:02:44.600	164.6	00:00:12.800	12.8		D52r																	7																								file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:02:44.600	164.6	00:02:58.200	178.2	00:00:13.600	13.6		D52r																	8																								file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:02:58.200	178.2	00:03:10.800	190.8	00:00:12.600	12.6		D52r																	9																								file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:03:10.800	190.8	00:03:23.400	203.4	00:00:12.600	12.6		D52r																	10																								file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:03:23.400	203.4	00:03:36.200	216.2	00:00:12.800	12.8		D52r																	11																								file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:03:36.200	216.2	00:03:51.200	231.2	00:00:15.000	15.0		D52r																	12																								file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
