Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	R Reim	Tg1a Kapitel	Ms1 Seite	Lemma	M2c Flexion Beleg 2	S2 Stammbaum	Ms2 Zeile	Tg2b Halbvers	M1a DDDTS Lemma	Standard W	S1a Satz	Sprache	Übersetzung	M2b Flexion Beleg 1	Ts1 Seite Ed.2	Ts1 Seite Ed.1	Tg Kommentar	Ts1 Seite Ed.3	R Kommentar	Tg1b Unterkapitel	S1b Hierarchie	Referenz	Ts2 Zeile Ed.1	Referenztext R	Manuskript W	Ts2 Zeile Ed.2	Ts2 Zeile Ed.3	M1b DDDTS Beleg	M2a Flexion Lemma	Referenztext W	Manuskript R	Tg2a Vers	Identifizierer	File Path
00:00:00.800	0.8	00:00:02.400	2.4	00:00:01.600	1.6											CE 					130							103											file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:02.600	2.6	00:00:07.000	7.0	00:00:04.400	4.4											CF_U_M 					130							104											file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:07.400	7.4	00:00:10.000	10.0	00:00:02.600	2.6											CF_U_Att 					130							104											file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:10.400	10.4	00:00:17.000	17.0	00:00:06.600	6.6											CF_U_M 					130																		file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:17.400	17.4	00:00:22.000	22.0	00:00:04.600	4.6											CF_I_Adv					130							105											file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:22.400	22.4	00:00:31.400	31.4	00:00:09.000	9.0											CF_U_M 					130																		file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:31.400	31.4	00:00:37.200	37.2	00:00:05.800	5.8											CF_I_M 					130							106											file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:37.600	37.6	00:00:42.800	42.8	00:00:05.200	5.2											CF_I_Adv_Temp					130							106											file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:43.200	43.2	00:00:47.200	47.2	00:00:04.000	4.0											CF_U_M 					130							107											file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:47.200	47.2	00:00:50.200	50.2	00:00:03.000	3.0											CF_I_M 					130							107											file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:50.600	50.6	00:00:57.400	57.4	00:00:06.800	6.8											CF_U_M 					130																		file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:57.800	57.8	00:01:05.800	65.8	00:00:08.000	8.0											CF_U_M 					130							108											file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:06.200	66.2	00:01:22.200	82.2	00:00:16.000	16.0											CF_I_Att 					130																		file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:22.600	82.6	00:01:27.600	87.6	00:00:05.000	5.0											CF_U_M 					130							110											file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:28.000	88.0	00:01:33.400	93.4	00:00:05.400	5.4											CF_I_Att 					130							110											file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:33.800	93.8	00:01:43.600	103.6	00:00:09.800	9.8											CF_I_Att 					130																		file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:43.600	103.6	00:01:50.600	110.6	00:00:07.000	7.0											CF_I_M 					130																		file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:00.000	0.0	00:01:51.000	111.0	00:01:51.000	111.0																130																		file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:00.000	0.0	00:00:02.600	2.6	00:00:02.600	2.6																130							103											file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:02.600	2.6	00:00:15.800	15.8	00:00:13.200	13.2																130							104											file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:15.800	15.8	00:00:29.000	29.0	00:00:13.200	13.2																130							105											file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:29.000	29.0	00:00:43.200	43.2	00:00:14.200	14.2																130							106											file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:43.200	43.2	00:00:55.000	55.0	00:00:11.800	11.8																130							107											file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:55.000	55.0	00:01:09.800	69.8	00:00:14.800	14.8																130							108											file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:09.800	69.8	00:01:20.600	80.6	00:00:10.800	10.8																130							109											file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:20.600	80.6	00:01:34.600	94.6	00:00:14.000	14.0																130							110											file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:34.600	94.6	00:01:47.200	107.2	00:00:12.600	12.6																130							111											file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:47.200	107.2	00:01:51.000	111.0	00:00:03.800	3.8																130							112											file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:00.000	0.0	00:00:00.400	0.4	00:00:00.400	0.4										10						130							103		10					10				file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:00.400	0.4	00:00:00.800	0.8	00:00:00.400	0.4									$.	. 						130							103		. 			$.		. 				file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:00.800	0.8	00:00:01.400	1.4	00:00:00.600	0.6				de					AP	de	CE 	lat	von			130							103		De			APPR		De			1154	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:01.400	1.4	00:00:02.400	2.4	00:00:01.000	1.0				serra	sg_abl				NA	serra	CE 	lat	Sägefisch	a_fem		130							103		serra			NA	a_fem	serra			1155	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:02.400	2.4	00:00:02.600	2.6	00:00:00.200	0.2									$.	.						130							103		.			$.		.				file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:02.600	2.6	00:00:03.200	3.2	00:00:00.600	0.6				in					AP	in	CF_U_M 	goh	in			130							104		In			APPR		In			1156	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:03.200	3.2	00:00:04.200	4.2	00:00:01.000	1.0				dër	masc,neut_sg_dat				DD	demo	CF_U_M 	goh	der, die, das			130							104		demo			DDA		demo			1157	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:04.200	4.2	00:00:05.200	5.2	00:00:01.000	1.0				meri	sg_dat				NA	mere	CF_U_M 	goh	Meer, die See	a_masc,neut		130							104		mere			NA	ja_masc,ja,i_neut	mere			1158	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:05.200	5.2	00:00:06.000	6.0	00:00:00.800	0.8				sin	ind_pres_sg_3				VA	ist	CF_U_M 	goh	sein	irr		130							104		ist			VAFIN	irr	ist			1159	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:06.000	6.0	00:00:07.000	7.0	00:00:01.000	1.0				ein	neut_sg_nom_st				DI	einez	CF_U_M 	goh	ein	p		130							104		einez			DIS	a,o	einez			1160	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:07.000	7.0	00:00:07.400	7.4	00:00:00.400	0.4									$,	, 						130							104		, 			$,		, 				file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:07.400	7.4	00:00:09.000	9.0	00:00:01.600	1.6				heiʒan	ind_pres_sg_3				VV	heizzet	CF_U_Att 	goh	heißen, genannt werden	red1		130							104		hêizzet			VVFIN	red1	hêizzet			1161	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:09.000	9.0	00:00:10.000	10.0	00:00:01.000	1.0				serra	sg_nom				NA	serra	CF_U_Att 	lat	Sägefisch	a_fem		130							104		serra			NA	a_fem	serra			1162	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:10.000	10.0	00:00:10.400	10.4	00:00:00.400	0.4									$,	, 						130							104		, 			$,		, 				file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:10.400	10.4	00:00:11.200	11.2	00:00:00.800	0.8				dër	neut_sg_nom				DD	daz	CF_U_M 	goh	der, die, das			130							104		daz			DDS		daz			1163	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:11.200	11.2	00:00:12.400	12.4	00:00:01.200	1.2				haben	ind_pres_sg_3				VA	hebet	CF_U_M 	goh	haben	wk3		130							104		hébet			VAFIN	wk3	hébet			1164	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:12.400	12.4	00:00:13.400	13.4	00:00:01.000	1.0				filu					ADV	uile	CF_U_M 	goh	sehr			130							104		vile			ADV		vile			1165	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:13.400	13.4	00:00:14.600	14.6	00:00:01.200	1.2				lang	pos_masc_pl_acc_st				ADJ	lange	CF_U_M 	goh	lang	p		130							104		lánge			ADJ	a,o	lánge			1166	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:14.600	14.6	00:00:15.800	15.8	00:00:01.200	1.2				dorn	pl_acc				NA	dorne	CF_U_M 	goh	Dorn, Stachel	a_masc		130							104		dorne			NA	a,i_masc	dorne			1167	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:15.800	15.8	00:00:16.400	16.4	00:00:00.600	0.6				ana					AP	an	CF_U_M 	goh	an			130							105		án			APPR		án			1168	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:16.400	16.4	00:00:17.000	17.0	00:00:00.600	0.6				ër	neut_sg_dat_3				PPER	imo	CF_U_M 	goh	er, sie, es			130							105		ímo			PRF		ímo			1169	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:17.000	17.0	00:00:17.400	17.4	00:00:00.400	0.4									$.	. 						130							105		. 			$.		. 				file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:17.400	17.4	00:00:18.000	18.0	00:00:00.600	0.6				soso					KO	sos	CF_I_Adv	goh	so; wenn			130							105		Sos			KOUS		Sos-			1170	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:18.000	18.0	00:00:18.600	18.6	00:00:00.600	0.6				ër	neut_sg_nom_3				PPER	ez	CF_I_Adv	goh	er, sie, es			130							105		éz			PPER		éz			1170	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:18.600	18.6	00:00:19.400	19.4	00:00:00.800	0.8				dër	neut_pl_acc				DD	diu	CF_I_Adv	goh	der, die, das			130							105		div			DDA		div			1171	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:19.400	19.4	00:00:20.600	20.6	00:00:01.200	1.2				scif	pl_acc				NA	schef	CF_I_Adv	goh	Schiff, Boot, Floß	a_neut		130							105		schéf			NA	a_neut	schéf			1172	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:20.600	20.6	00:00:22.000	22.0	00:00:01.400	1.4				gisëhan	ind_pres_sg_3				VV	gesihet	CF_I_Adv	goh	(an)sehen, erblicken	st5		130							105		gesihet			VVFIN	st5	gesihet			1173	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:22.000	22.0	00:00:22.400	22.4	00:00:00.400	0.4									$,	, 						130							105		, 			$,		, 				file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:22.400	22.4	00:00:23.000	23.0	00:00:00.600	0.6				so					ADV	so	CF_U_M 	goh	so, dann			130							105		so			ADV		so			1174	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:23.000	23.0	00:00:24.400	24.4	00:00:01.400	1.4				ufrihten	ind_pres_sg_3				VV	rihted	CF_U_M 	goh	aufrichten, erheben	wk1a		130							105		ríhtéd			VVFIN	wk1a	ríhtéd			1175	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:24.400	24.4	00:00:25.000	25.0	00:00:00.600	0.6				ër	neut_sg_nom_3				PPER	ez	CF_U_M 	goh	er, sie, es			130							105		ez			PPER		ez			1176	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:25.000	25.0	00:00:25.600	25.6	00:00:00.600	0.6				uf					ADV	uf	CF_U_M 	goh	(hin)auf			130							105		v̂f			PTKVZ		v̂f			1177	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:25.600	25.6	00:00:26.600	26.6	00:00:01.000	1.0				sin	fem_pl_acc_st				DPOS	sine	CF_U_M 	goh	sein	p		130							105		sine			DPOS	a,o	sine			1178	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
